 NS,EW,UD
0.001,0.008,0.006
0.016,0.001,0.025
-0.001,-0.007,0.057
-0.022,0,-0.023
-0.002,0.026,-0.018
-0.025,0.017,0.003
-0.005,0.015,0.023
0.005,-0.012,-0.014
-0.008,-0.017,0.024
-0.012,-0.026,0.021
0.025,0.002,0.014
0.016,0.014,-0.026
0.024,0.008,-0.039
-0.004,0.025,0
0.004,0.007,-0.015
0.014,-0.014,0.006
0.008,0.005,-0.017
0.018,0.017,0.016
0.005,-0.004,-0.002
0.014,-0.006,-0.024
-0.024,0.008,-0.05
-0.004,0.012,-0.011
-0.014,-0.005,-0.003
0.027,0.002,0.011
0.011,-0.01,0.001
0.01,-0.008,-0.001
-0.006,-0.011,0.025
0.008,-0.002,0.009
-0.001,0.027,0.023
-0.001,0.021,-0.013
-0.002,-0.012,-0.021
-0.013,0.001,-0.01
-0.009,-0.007,0.011
0.005,0.014,-0.01
0.025,-0.007,-0.012
0.022,-0.01,-0.011
0.025,0.006,0.039
-0.012,0.006,0.008
-0.021,-0.005,-0.029
-0.013,-0.002,-0.008
-0.004,0,-0.009
0,-0.034,0.025
-0.016,0.024,-0.007
0.008,0.018,0.019
0.007,-0.005,-0.009
0.006,-0.002,-0.006
-0.008,0.01,-0.002
0.016,0.009,0.041
0.018,-0.016,0
0.018,0.012,0.006
0.02,0.004,-0.005
-0.006,0.011,0.016
-0.027,-0.006,-0.018
0.005,0.003,-0.004
-0.01,-0.001,0.001
0.004,0.01,-0.008
0.011,-0.024,-0.008
0,0.008,0.008
0.025,0.004,0.003
-0.001,0.014,0.021
-0.003,-0.004,0.02
0.006,0.004,-0.002
0.014,0.025,-0.013
-0.019,-0.002,-0.015
-0.021,0.01,0.007
0.016,0.01,-0.033
0.011,-0.025,0.01
-0.002,0.017,-0.008
0.005,-0.001,-0.019
0,0.001,0.032
0.013,0.002,0.019
0.004,-0.01,0.02
0.006,0.012,-0.025
0.018,0.005,0.018
0.006,0.006,-0.013
-0.015,0.017,0.034
-0.013,0.004,-0.015
-0.012,0.008,0.019
-0.022,0.007,0.005
-0.001,0.003,0.009
0.014,-0.008,-0.029
-0.007,-0.022,0.004
-0.005,-0.006,0.001
0.021,0.012,0.001
0,-0.004,-0.017
-0.01,0.011,0.032
0.007,-0.007,0.002
-0.009,0.013,-0.01
-0.004,0.023,0.01
0.017,0.025,-0.019
0.004,0.005,0.006
-0.002,0.011,-0.036
-0.015,0.002,0.036
-0.002,0.005,0
0.02,0.004,0.023
-0.005,-0.007,-0.002
-0.004,0.005,0.01
-0.004,0.006,-0.007
0.014,0.005,0.01
0.015,0.012,-0.021
-0.018,-0.004,0.012
0,0.001,0.022
-0.011,-0.001,-0.044
0.016,0.003,0.003
0.001,-0.036,0.005
0.018,0.005,0.041
-0.019,0.001,-0.001
-0.015,0.012,0.003
-0.019,-0.006,0.001
-0.004,-0.008,0.006
-0.004,0.005,-0.026
0.006,-0.016,0.004
-0.016,0.014,-0.025
-0.011,-0.004,-0.026
0.005,0.001,0.016
-0.004,0.008,0.001
0.012,-0.005,0.026
0.014,0.001,-0.029
0.001,-0.001,0.009
-0.004,-0.008,0.014
0.017,0.012,0.001
-0.01,0.018,-0.011
-0.001,0.007,0.034
-0.02,-0.004,-0.004
0.007,0.008,0.004
0.004,-0.03,0.007
-0.005,-0.001,0.014
-0.033,-0.003,0.038
-0.006,-0.021,0.012
-0.021,-0.006,-0.008
0.004,0.029,0.003
-0.002,0.003,0.005
-0.01,-0.005,-0.021
-0.001,0.014,-0.002
